"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"900","stonerun","1","0","0","Stonetalon Ruins","","","","","","","","","","","","","","","","16712190","6003","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","810","1","-1","0","0","-1","0","0","0"
"901","Demoncove","1","0","0","Demonhunter Cove","","","","","","","","","","","","","","","","16712190","6004","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","803","1","-1","0","0","-1","0","0","0"
"902","StoneLog","1","0","0","Stonetalon Logging Camp","","","","","","","","","","","","","","","","16712190","6005","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","809","1","-1","0","0","-1","0","0","0"
"903","oldironforge","1","0","0","Old Ironforge","","","","","","","","","","","","","","","","16712190","6006","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","3","1","-1","0","0","-1","0","0","0"
"904","blackcharcave","1","0","0","Blackchar Cave","","","","","","","","","","","","","","","","16712190","6007","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","802","1","-1","0","0","-1","0","0","0"
"905","SandFury","1","0","0","SandfuryDelve","","","","","","","","","","","","","","","","16712190","6008","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","808","1","-1","0","0","-1","0","0","0"
"906","AFarmlands","1","0","0","Arathi Farmlands","","","","","","","","","","","","","","","","16712190","6009","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","801","1","-1","0","0","-1","0","0","0"
"907","elwynn","1","0","0","Elwynn Falls","","","","","","","","","","","","","","","","16712190","6010","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","804","1","-1","0","0","-1","0","0","0"
"908","qualisland","1","0","0","Quel'Thalas Island","","","","","","","","","","","","","","","","16712190","6011","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","807","1","-1","0","0","-1","0","0","0"
"909","gnomecamp","1","0","0","Forgotten Gnome Camp","","","","","","","","","","","","","","","","16712190","6012","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","805","1","-1","0","0","-1","0","0","0"
"910","Newman","1","0","0","Newman's Landing","","","","","","","","","","","","","","","","16712190","6013","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","806","1","-1","0","0","-1","0","0","0"
"911","altarstorms","1","0","0","Altar of Storms","","","","","","","","","","","","","","","","16712190","6014","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","800","1","-1","0","0","-1","0","0","0"
